PROJECT,SITE_NUMBE,SITE_NAME,DNA#,N or S of Hwy 3,EAST,NORTH,ORIGIN,Drainage,YEAR
Hwy3 2005,3Hwy145,Spruce Tr,"10456, 10508",S,587073,5439765,Hwy3 2005,x,2005
Hwy3 2005,3Hwy101,Subalpine Duck,"10423, 10493",N,531033,5458120,Hwy3 2005,x,2005
Hwy3 2005,3Hwy136,Sullivan slide,"10565, 10491, 10550",S,544875,5438208,Hwy3 2005,x,2005
Hwy3 2005,3Hwy125,Sundown,10307 10441,S,584994,5446360,Hwy3 2005,x,2005
Hwy3 2005,3Hwy126,Thompson,"10420, 10566",S,544749,5440705,Hwy3 2005,x,2005
Hwy3 2005,3Hwy134,Upper Cold,"10469, 10545",S,583745,5440501,Hwy3 2005,x,2005
Hwy3 2005,3Hwy122,Upper Englishman,"10481, 10521",N,563763,5447117,Hwy3 2005,x,2005
Hwy3 2005,3Hwy107,Upper Kidd. Powerline,"10402, 10484, 10552, 10603",N,562854,5456564,Hwy3 2005,x,2005
Hwy3 2005,3Hwy124,Upper stone,,S,584994,5447766,Hwy3 2005,x,2005
Hwy3 2005,3HwyXXX,Grouse Mtn,"10521, 10578",,,,,,
Hwy3 2005,3HwyXXXX,Matton,10539,,,,,,
PWC 2002,PWC1,Dewar Wesley,,,539742,5530385,PWC 2002,x,2002
PWC 2002,PWC2,L. Dewar,,,537309,5527932,PWC 2002,x,2002
PWC 2002,PWC3,U. Dewar,,,534932,5532172,PWC 2002,x,2002
PWC 2002,PWC4,White STAlpine,,,549273,5526542,PWC 2002,x,2002
PWC 2002,PWC5,U. Findlay,,,544902,5537032,PWC 2002,x,2002
PWC 2002,PWC6,Fry U,,,536283,5539308,PWC 2002,x,2002
PWC 2002,PWC7,Powder,,,519867,5527747,PWC 2002,x,2002
PWC 2002,PWC8,Findlay Clear,,,555724,5560944,PWC 2002,x,2002
PWC 2002,PWC9,Findlay Frying,,,552566,5556829,PWC 2002,x,2002
PWC 2002,PWC10,Periwinkle,,,547860,5553483,PWC 2002,x,2002
PWC 2002,PWC11,L. Findlay,,,547928,5550164,PWC 2002,x,2002
PWC 2002,PWC12,Granite Cr.,,,543509,5548604,PWC 2002,x,2002
PWC 2002,PWC13,Findlay Dutch,,,544023,5540365,PWC 2002,x,2002
PWC 2002,PWC14,Findlay Alton,,,545229,5543311,PWC 2002,x,2002
PWC 2002,PWC15,Dutch L,,,559603,5569188,PWC 2002,x,2002
PWC 2002,PWC16,Dutch Ccrown,,,547201,5568944,PWC 2002,x,2002
PWC 2002,PWC17,mid-Dutch,,,547814,5566765,PWC 2002,x,2002
PWC 2002,PWC18,Dutch Hyak,,,544129,5564359,PWC 2002,x,2002
PWC 2002,PWC19,U. Dutch,,,544107,5560852,PWC 2002,x,2002
PWC 2002,PWC20,U. Carney,,,537107,5554657,PWC 2002,x,2002
