BATCH_NO,CID_NO,MASTER_ID,ERROR_FLAG,SPECIES_CODE,KILL_CODE,LIMITED_ENTRY_FLAG,KILL_DATE,SEX,MU_CODE,SUB_UNIT_CODE,REGION_CODE,SUB_REGION_CODE,ZONE_NO,GRID_EAST,GRID_NORTH,KILL_LOCATION,HUNTER_LICENCE_TYPE,SKULL_LENGTH,SKULL_WIDTH,SKULL_TYPE,HORN_ANNULI_CODE,HORN_ANNULI_AGE,TOOTH_CODE,TOOTH_AGE,WEARSTAIN_CODE,WEARSTAIN_AGE,OTHER_CODE,OTHER_AGE,EXTRACT_FLAG,CHECK_DATE,PARK_KILL_FLAG,CHECK_LOCATION,GUIDE_FORM_NO,PARK_NAME
197507,700049,30587,W,BEAG,1,2,19751005,M,507,0,5,-,0,0,0,QUAP,NRH,327,175,3,,,2,6,,,,,1,19000000,,0,,
197507,700050,30588,W,BEAG,1,2,19751005,M,609,0,6,-,0,0,0,MORICE RIVER,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700012,30550,W,BEAG,1,2,19751005,M,717,0,7,A,0,0,0,WOODALL CREEK,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700055,30593,W,BEAG,1,2,19751006,M,508,0,5,-,0,0,0,KWATNA RIVER,NRH,330,165,3,,,2,5,,,,,1,19000000,,0,,
197507,700044,30582,W,BEAG,1,2,19751008,M,704,0,7,A,0,0,0,RAUSH RIVER VALLEY,RH,382,216,3,,,2,12,,,,,1,19000000,,0,,
197507,700070,30608,W,BEAG,1,2,19751012,M,508,0,5,-,0,0,0,KWATNA RIVER,NRH,356,178,3,,,2,4,,,,,1,19000000,,0,,
197507,700058,30596,W,BEAG,1,2,19751012,F,508,0,5,-,0,0,0,MOSES INLET,NRH,355,222,3,,,,,,,,,1,19000000,,0,,
197507,700034,30572,W,BEAG,1,2,19751012,F,716,0,7,A,0,0,0,CHUCHINKA CREEK,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700074,30612,W,BEAG,1,2,19751013,F,728,0,7,A,0,0,0,PURUIS CREEK,RH,311,159,3,,,,,,,,,,19000000,,0,,
197507,700032,30570,W,BEAG,1,2,19751013,M,749,0,7,B,0,0,0,PROPHET RIVER,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700059,30597,W,BEAG,1,2,19751014,M,506,0,5,-,0,0,0,MCCLINCHY CREEK,RH,392,219,3,,,,,,,,,1,19000000,,0,,
197507,700048,30586,W,BEAG,1,2,19751014,M,507,0,5,-,0,0,0,SHEEMAHANT RIVER,NRH,387,241,3,,,2,18,,,,,1,19000000,,0,,
197507,700031,30569,W,BEAG,1,2,19751016,F,704,0,7,A,0,0,0,CASTLE CREEK AREA,RH,368,190,3,,,,,,,,,,19000000,,0,,
197507,700077,30615,W,BEAG,1,2,19751018,F,707,0,7,A,0,0,0,TUMUCK LK RD MILE 18,RH,311,197,3,,,,,,,,,,19000000,,0,,
197507,700082,30620,W,BEAG,1,2,19751018,M,609,0,6,-,0,0,0,UPPER COPPER RIVER,RH,368,190,3,,,,,,,,,,19000000,,0,,
197507,700081,30619,W,BEAG,1,2,19751020,F,728,0,7,A,0,0,0,MANSON RIVER,RH,356,254,3,,,,,,,,,1,19000000,,0,,
197507,700078,30616,W,BEAG,1,2,19751022,F,727,0,7,A,0,0,0,KAZA LAKE,NRH,356,190,3,,,,,,,,,,19000000,,0,,
197507,700015,30553,W,BEAG,1,2,19751024,M,724,0,7,A,0,0,0,CARP LAKE 4TH LK,RH,,,0,,,,,,,,,,19000000,,0,,
197507,700076,30614,W,BEAG,1,2,19751025,U,630,0,6,-,0,0,0,CULLON CREEK,RH,362,206,3,,,,,,,,,,19000000,,0,,
197507,700016,30554,W,BEAG,1,2,19751026,M,425,0,4,B,0,0,0,MT TEGART,RH,289,206,3,,,2,4,,,,,1,19000000,,0,,
197507,700022,30560,W,BEAG,1,2,19751027,F,507,0,5,-,0,0,0,WASH WASH RIVER,RH,305,152,3,,,2,4,,,,,1,19000000,,0,,
197507,700033,30571,W,BEAG,1,2,19751028,F,705,0,7,A,0,0,0,TUMUCH LAKE,RH,349,190,3,,,2,10,,,,,1,19000000,,0,,
197507,700063,30601,W,BEAG,1,2,19751029,M,626,0,6,-,0,0,0,NILIME MT,NRH,343,179,3,,,2,5,,,,,1,19000000,,0,,
200202,91106,108772,W,BEAG,1,2,19760401,M,515,0,5,-,10,673,5834,NIAGARA CREEK,RH,,,,,,,,,,,,2,20020530,,18,,
197605,800434,31116,W,BEAG,1,2,19760423,M,716,0,7,A,0,0,0,COTTONWOOD CR,RH,,,0,,,,,,,,,,19000000,,0,,
197605,800442,31124,W,BEAG,1,2,19760428,F,402,0,4,B,0,0,0,MILLAR CR-GRASMERE,RH,318,178,3,,,2,13,,,,,1,19000000,,0,,
197605,800451,31133,W,BEAG,1,2,19760501,M,402,0,4,B,0,0,0,UPPER WIGWAM,RH,386,224,3,,,2,20,,,,,1,19000000,,0,,
197605,800393,31075,W,BEAG,1,2,19760502,M,743,0,7,B,0,0,0,CYPRESS-CHOWADE,RH,327,187,3,,,2,6,,,,,1,19000000,,0,,
197605,800396,31078,W,BEAG,1,2,19760502,M,702,0,7,A,0,0,0,CANOE R,RH,368,241,3,,,,,,,,,,19000000,,0,,
197605,800391,31073,W,BEAG,1,2,19760503,F,754,0,7,B,0,0,0,,NRH,,,0,,,,,,,,,,19000000,,0,,
197605,800450,31132,,BEAG,1,2,19760504,M,815,0,8,-,11,393,5458,KENNEDY CR,RH,248,133,3,,,2,3,,,,,1,,,0,,
197605,800411,31093,W,BEAG,1,2,19760507,F,615,0,6,-,0,0,0,MAROON CR,RH,375,197,3,,,2,8,,,,,1,19000000,,0,,
197605,800422,31104,W,BEAG,1,2,19760507,F,703,0,7,A,0,0,0,HOLMES R M 14,RH,318,171,3,,,2,7,,,,,1,19000000,,0,,
197605,800431,31113,W,BEAG,1,2,19760508,M,723,0,7,A,0,0,0,GABLE MT,RH,,,0,,,,,,,,,,19000000,,0,,
197605,800394,31076,W,BEAG,1,2,19760508,M,743,0,7,B,0,0,0,GRAHAM R,NRH,375,197,3,,,2,5,,,,,1,19000000,,0,,
197605,800433,31115,W,BEAG,1,2,19760509,F,723,0,7,A,0,0,0,KENNEDY SIDING,RH,,,0,,,,,,,,,,19000000,,0,,
197605,800417,31099,W,BEAG,1,2,19760509,F,745,0,7,B,0,0,0,BEATTON R,RH,,,0,,,,,,,,,,19000000,,0,,
197605,800405,31087,W,BEAG,1,2,19760510,F,604,0,6,-,0,0,0,BURNS L,RH,285,157,3,,,2,3,,,,,1,19000000,,0,,
197605,800382,31064,,BEAG,1,2,19760510,M,508,0,5,-,0,0,0,KWATNA R,NRH,438,260,3,,,2,15,,,,,1,19000000,,0,,
197605,800453,31135,W,BEAG,1,2,19760511,M,422,0,4,B,0,0,0,BULL R,RH,381,229,3,,,,,,,,,,19000000,,0,,
197605,800421,31103,,BEAG,1,2,19760511,M,736,0,7,B,0,0,0,TWO LAKES,NRH,368,235,3,,,2,13,,,,,1,19000000,,0,,
197605,800392,31074,W,BEAG,1,2,19760511,M,735,0,7,B,0,0,0,,RH,381,229,3,,,2,13,,,,,1,19000000,,0,,
197605,800448,31130,W,BEAG,1,2,19760512,M,433,0,4,A,0,0,0,ILLECILLEWAET R,RH,356,210,3,,,,,,,,,,19000000,,0,,
197605,800398,31080,W,BEAG,1,2,19760512,F,438,0,4,A,0,0,0,TANGIERCR REVELSTOKE,RH,308,178,3,,,2,12,,,,,1,19000000,,0,,
197605,800446,31128,W,BEAG,1,2,19760513,M,437,0,4,B,0,0,0,VENTEGO-CUPOLA CRS,NRH,318,191,3,,,2,4,,,,,1,19000000,,0,,
