#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2017,SR_17577,3,1824116_531953_RT,F
Southern_Rockies_2017,SR_17577,5,1825322_531609_RT,F
Southern_Rockies_2017,SR_17577,5,1822067_532461_RT,F
Southern_Rockies_2017,SR_17665,1,1796780_629159_RT,F
Southern_Rockies_2017,SR_17665,2,1797918_631259_RT,F
Southern_Rockies_2017,SR_17665,3,1796780_629159_RT,F
Southern_Rockies_2017,SR_17665,3,1797918_631259_RT,F
Southern_Rockies_2017,SR_17665,4,1796780_629159_RT,F
Southern_Rockies_2017,SR_18071,2,1788467_590064_RT,F
Southern_Rockies_2017,SR_18071,3,1788467_590064_RT,F
Southern_Rockies_2017,SR_18071,3,1786624_590128_RT,F
Southern_Rockies_2017,SR_18184,2,1808878_561548_RT,M
Southern_Rockies_2017,SR_18184,3,1810362_559047_RT,M
Southern_Rockies_2017,SR_18201,1,1798758_581851_RT,F
Southern_Rockies_2017,SR_18201,4,1796909_576941_RT,F
Southern_Rockies_2017,SR_18201,5,1803399_582522_RT,F
Southern_Rockies_2017,SR_18201,5,1802739_582582_RT,F
Southern_Rockies_2017,SR_18248,2,1804013_600651_RT,F
Southern_Rockies_2017,SR_18256,3,1827325_509718_RT,M
Southern_Rockies_2017,SR_18387,3,1791207_614040_RT,M
Southern_Rockies_2017,SR_18817,5,1806501_521694_RT,M
Southern_Rockies_2017,SR_18844,1,1846748_512477_RT,M
Southern_Rockies_2017,SR_18844,3,1848706_514987_RT,M
Southern_Rockies_2017,SR_18883,5,1796780_629159_RT,M
Southern_Rockies_2017,SR_18897,1,1801227_628737_RT,M
Southern_Rockies_2017,SR_18897,2,1801227_628737_RT,M
Southern_Rockies_2017,SR_18897,3,1801227_628737_RT,M
Southern_Rockies_2017,SR_19454,5,1801014_525627_RT,F
Southern_Rockies_2017,SR_19478,4,1784039_564763_RT,M
Southern_Rockies_2017,SR_19830,3,1783023_647242_RT,F
Southern_Rockies_2017,SR_19830,3,1778002_650315_RT,F
Southern_Rockies_2017,SR_19866,2,1790476_592417_RT,M
Southern_Rockies_2017,SR_19866,2,1790567_592183_RT,M
Southern_Rockies_2017,SR_19866,4,1790476_592417_RT,M
Southern_Rockies_2017,SR_19866,4,1790567_592183_RT,M
Southern_Rockies_2017,SR_19866,4,1790632_592077_RT,M
Southern_Rockies_2017,SR_19866,4,1789239_590610_RT,M
Southern_Rockies_2017,SR_19866,5,1790567_592183_RT,M
Southern_Rockies_2017,SR_19866,5,1790632_592077_RT,M
Southern_Rockies_2017,SR_20100,2,1806501_521694_RT,F
Southern_Rockies_2017,SR_20105,2,1808205_520323_RT,M
Southern_Rockies_2017,SR_20138,4,1798055_632395_RT,F
Southern_Rockies_2017,SR_20153,3,1782953_561357_RT,M
Southern_Rockies_2017,SR_20163,3,1800388_617635_RT,F
Southern_Rockies_2017,SR_20163,3,1800172_617621_RT,F
Southern_Rockies_2017,SR_20163,4,1800388_617635_RT,F
Southern_Rockies_2017,SR_20174,2,1797779_576286_RT,F
Southern_Rockies_2017,SR_20324,1,1812422_587172_RT,M
Southern_Rockies_2017,SR_20329,2,1775125_664779_RT,F
Southern_Rockies_2017,SR_20331,2,1775125_664779_RT,M
Southern_Rockies_2017,SR_20421,1,1783910_564954_RT,M
Southern_Rockies_2017,SR_20481,1,1829415_545540_RT,M
Southern_Rockies_2017,SR_20629,5,1787409_622732_RT,M
Southern_Rockies_2017,SR_20720,5,1785264_609179_RT,F
Southern_Rockies_2017,SR_20804,1,1829841_546430_RT,M
Southern_Rockies_2017,SR_20804,2,1828739_546779_RT,M
Southern_Rockies_2017,SR_20804,3,1828739_546779_RT,M
Southern_Rockies_2017,SR_20804,3,1829841_546430_RT,M
Southern_Rockies_2017,SR_20828,4,1784392_563827_RT,M
Southern_Rockies_2017,SR_20957,2,1785202_623427_RT,M
Southern_Rockies_2017,SR_21220,5,1793948_561320_RT,M
Southern_Rockies_2017,SR_21244,5,1796909_576941_RT,M
Southern_Rockies_2017,SR_21248,5,1796909_576941_RT,F
Southern_Rockies_2017,SR_21251,5,1816956_550461_RT,F
Southern_Rockies_2017,SR_21424,5,1809960_580891_RT,F
Southern_Rockies_2017,SR_21428,5,1806990_564377_RT,F
Southern_Rockies_2017,SR_21428,5,1805830_563609_RT,F
Southern_Rockies_2017,SR_21477,5,1777387_650599_RT,M
Southern_Rockies_2017,SR_21512,4,1778115_664353_RT,F
Southern_Rockies_2017,SR_21512,4,1779296_664583_RT,F
Southern_Rockies_2017,SR_21677,3,1836202_527037_RT,M
Southern_Rockies_2017,SR_21844,4,1786388_646832_RT,F
Southern_Rockies_2017,SR_21845,4,1786388_646832_RT,F
Southern_Rockies_2017,SR_21845,5,1783023_647242_RT,F
Southern_Rockies_2017,SR_21872,4,1786567_563789_RT,F
Southern_Rockies_2017,SR_21962,2,1788196_610844_RT,F
Southern_Rockies_2017,SR_21962,3,1787209_610412_RT,F
Southern_Rockies_2017,SR_260,2,1786624_590128_RT,M
Southern_Rockies_2017,SR_3165,1,1787374_563349_RT,M
Southern_Rockies_2017,SR_3165,2,1782453_560608_RT,M
Southern_Rockies_2017,SR_3333,1,1801014_525627_RT,M
Southern_Rockies_2017,SR_3578,4,1787364_632132_RT,M
Southern_Rockies_2017,SR_3820,4,1801227_628737_RT,F
Southern_Rockies_2017,SR_3820,5,1803640_621272_RT,F
Southern_Rockies_2017,SR_3825,3,1785264_609179_RT,F
Southern_Rockies_2017,SR_3984,1,1769333_675187_RT,M
Southern_Rockies_2017,SR_4097,5,1777662_670512_RT,F
Southern_Rockies_2017,SR_4152,2,1803640_621272_RT,F
Southern_Rockies_2017,SR_4449,1,1784409_653689_RT,F
Southern_Rockies_2017,SR_4449,2,1784409_653689_RT,F
Southern_Rockies_2017,SR_4456,1,1796957_629732_RT,M
Southern_Rockies_2017,SR_4456,1,1786751_633149_RT,M
Southern_Rockies_2017,SR_4456,1,1798055_632395_RT,M
Southern_Rockies_2017,SR_4456,2,1786379_633772_RT,M
Southern_Rockies_2017,SR_4456,3,1786280_629138_RT,M
Southern_Rockies_2017,SR_4456,4,1786379_633772_RT,M
Southern_Rockies_2017,SR_4456,4,1781168_648898_RT,M
Southern_Rockies_2017,SR_452,1,1791294_591554_RT,F
Southern_Rockies_2017,SR_452,1,1790476_592417_RT,F
Southern_Rockies_2017,SR_452,2,1793796_590493_RT,F
Southern_Rockies_2017,SR_452,2,1792301_590712_RT,F
Southern_Rockies_2017,SR_4520,4,1784039_564763_RT,F
Southern_Rockies_2017,SR_4520,4,1783910_564954_RT,F
Southern_Rockies_2017,SR_4589,1,1829841_546430_RT,M
Southern_Rockies_2017,SR_4589,2,1819046_549512_RT,M
Southern_Rockies_2017,SR_4875,1,1817733_567109_RT,M
