Sample ID,HTorRT,Area,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HT_ID,pooled RTs,Site Name,Northing,Easting,Latitude,Long ,YR,MO,DY,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex
,RT,Anderson,,,,NONE,,RT Anderson,RT Anderson1,5616612,546899,50.6994338,-122.3359120,2013,8,16,4,,,,,,,
GF10,C,Blowdown,SN,Bella,Bella F319,Bella,,,,,,,,2010,6,8,0,X,,,F319,1,LC7-00-Plots-k1,F
HT Blowdown 2-60912-1,HT,Blowdown,SN,Bella,Bella F319,Bella,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2012,9,6,3,,11,10,F319,1,LC7-00-Plots-k1,F
HT Blowdown 2-60912-2b,HT,Blowdown,SN,Bella,Bella F319,Bella,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2012,9,6,3,,11,10,F319,2,LC7-00-Plots-k1,F
HT Blwdn2-230713-1,HT,Blowdown,SN,Bella,Bella F319,Bella,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2013,7,23,2,,11,7,F319,1,LC7-00-Plots-k1,F
HT Blowdown 2-190814-1,HT,Blowdown,SN,Jim,Jim M239,Jim,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,8,19,4,,20,20,M239,1,NAH7-02-31-c1,M
HT Blowdown 2-190814-2,HT,Blowdown,SN,Jim,Jim M239,Jim,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,8,19,4,,20,20,M239,2,NAH7-02-31-c1,M
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2012,7,11,1,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2012,7,26,2,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2013,7,10,1,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2013,8,23,3,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,6,10,1,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,7,1,2,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,7,16,3,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,9,28,5,,,,,,,
DNA09-1A,HT,Blowdown,SN,Bella,Bella F319,Bella,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,1,LC7-00-Plots-k1,F
DNA09-2B,HT,Blowdown,SN,Bella,Bella F319,Bella,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,2,LC7-00-Plots-k1,F
DNA09-5,HT,Blowdown,SN,Bella,Bella F319,Bella,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,3,LC7-00-Plots-k1,F
DNA09-6B,HT,Blowdown,SN,Bella,Bella F319,Bella,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,4,LC7-00-Plots-k1,F
DNA09-7A,HT,Blowdown,SN,Bella,Bella F319,Bella,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,5,LC7-00-Plots-k1,F
DNA09-3B,HT,Blowdown,SN,Herman,Herman M140,Herman,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,M140,1,6SNSA-GM5,M
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,27,2,,,,,,,
HT Blowdown-260711-5c,HT,Blowdown,SN,Scud,Scud M72,Scud,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,7,26,2,,11,9,M72,1,54023a1,M
HT Blowdown190911-1B,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,9,19,4,,10,4,F319,1,LC7-00-Plots-k1,F
HT Blowdown190911-3,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,9,19,4,,10,4,F319,2,LC7-00-Plots-k1,F
