ID,Trap ID per site,Sampling Project,Use in Popn Analysis,Sessions,Site,Easting,Northing,Sess 1,Sess 2,Sess 3,Sess 4,Sess 5
122,Reg-2005-32,Region-2005,yes,5,32,575791,5559202,"F76,M77",,F78,"F75,M77,F78","F74,F75"
123,Reg-2005-33,Region-2005,yes,5,33,583138.87,5561969.46,,,,,
124,Reg-2005-34,Region-2005,yes,5,34,588738.9,5562091.42,,,,,"F76,F78"
125,Reg-2005-35,Region-2005,yes,5,35,540153,5553318,,,,M62,
126,Reg-2005-36,Region-2005,yes,5,36,545906,5555698,,,,,
127,Reg-2005-37,Region-2005,yes,5,37,557344,5556074,,,,,
128,Reg-2005-38,Region-2005,yes,5,38,565902,5555155,,,,,
129,Reg-2005-39,Region-2005,yes,5,39,578812,5554579,"F76,F78,M77","M66,M77,F76","M77,F76",,M65
130,Reg-2005-40,Region-2005,yes,5,40,582230.05,5559732.96,"F75,F78,M77",,,"F76,M77,F78","M66,M77,F78"
131,Reg-2005-41,Region-2005,yes,5,41,594241.42,5559186.86,,,,,
132,Reg-2005-42,Region-2005,yes,5,42,539470,5547196,,,,,
133,Reg-2005-43,Region-2005,yes,5,43,548203.95,5542688.91,,,,,
134,Reg-2005-44,Region-2005,yes,5,44,552994,5546327,,,,,
135,Reg-2005-45,Region-2005,yes,5,45,560703.52,5548235.12,,,,,
136,Reg-2005-46,Region-2005,yes,5,46,578141.12,5543594.53,,,,,F71
137,Reg-2005-47,Region-2005,yes,5,47,583956.78,5547020.73,,F71,F71,F71,
138,Reg-2005-48,Region-2005,yes,5,48,595085.91,5548126.48,,,,,
139,Reg-2005-49,Region-2005,yes,5,49,600201.94,5543867.58,,F71,,,F71
140,Reg-2005-51,Region-2005,yes,5,51,548027.63,5539321.89,,,,,
141,Reg-2005-52,Region-2005,yes,5,52,555695,5533764,,,,,
142,Reg-2005-53,Region-2005,yes,5,53,563230,5534753,,,,,
143,Reg-2005-54,Region-2005,yes,5,54,575119,5531432,,,,,
144,Reg-2005-55,Region-2005,yes,5,55,583666,5534729,,,,,
145,Reg-2005-58,Region-2005,yes,5,58,594209,5533603,,,,,
146,Reg-2005-60,Region-2005,yes,5,60,602222,5538037,,,,,
147,Reg-2005-61,Region-2005,yes,5,61,560866.52,5523721.85,,,,,
148,Reg-2005-50,Region-2005,yes,5,50,561287,5528492,,,,,
149,Reg-2005-57,Region-2005,yes,5,57,575060,5525620,,,,,
150,Reg-2005-56,Region-2005,yes,5,56,582879,5525542,,,,,
151,Reg-2005-59,Region-2005,yes,5,59,592347,5527255,,,,,
152,Reg-2005-62,Region-2005,yes,5,62,606208,5524874,,,,,
153,Reg-2005-63,Region-2005,yes,5,63,560907.79,5517308.29,,,,,
154,Reg-2005-64,Region-2005,yes,5,64,568034,5514957,,,,,
155,Reg-2005-65,Region-2005,yes,5,65,576283,5518800,,,,,
156,Reg-2005-66,Region-2005,yes,5,66,587747,5518116,,,,,
157,Reg-2005-67,Region-2005,yes,5,67,599504,5514142,,,,,
158,Reg-2005-68,Region-2005,yes,5,68,602133,5520553,,,,,
159,Reg-2005-69,Region-2005,yes,5,69,579229,5509693,,,,,
160,Reg-2005-70,Region-2005,yes,5,70,588570,5508447,,,,,
161,Reg-2005-71,Region-2005,yes,5,71,596935,5505670,,,,,
162,Reg-2005-72,Region-2005,yes,5,72,600910,5501626,,,,,
163,Reg-2005-73,Region-2005,yes,5,73,610112,5503227,,,,,
164,Reg-2005-74,Region-2005,yes,5,74,590451,5494550,,,,,
165,Reg-2005-75,Region-2005,yes,5,75,592686,5493767,,,,,
166,Reg-2005-76,Region-2005,yes,5,76,607774,5494771,,,,,
167,Reg-2005-77,Region-2005,yes,5,77,611430,5494065,,,,,
168,Reg-2005-78,Region-2005,yes,5,78,598764,5484549,,,,,
169,Reg-2005-79,Region-2005,yes,5,79,608131,5487319,,,,,
170,Reg-2005-80,Region-2005,yes,5,80,609906,5485929,,,,,
171,Reg-2005-81,Region-2005,yes,5,81,590443,5474228,,,,,
172,Reg-2005-82,Region-2005,yes,5,82,603013,5477543,,,,,
173,Reg-2006-1,Region-2006,yes,4,1,465330,5638062,"F96,F97,M98",M114,F97,"M114,M128",
174,Reg-2006-2,Region-2006,yes,4,2,475123,5632993,,,,,
175,Reg-2006-3,Region-2006,yes,4,3,519056.14,5631971.66,,,,,
176,Reg-2006-4,Region-2006,yes,4,4,521799,5630188.33,,,,"F130,F131",
177,Reg-2006-5,Region-2006,yes,4,5,452627.42,5620542.16,"M111,M99",,,M119,
178,Reg-2006-6,Region-2006,yes,4,6,466488.77,5619294.99,,M129,M101,M101,
179,Reg-2006-7,Region-2006,yes,4,7,482534,5621404,M116,F115,,M101,
