Perm ID,Sex,Pop,Year,Samples,DNA#,East,North,# loci,A,B,C,D,H,J,L,M,P,U,X,20,110,50,59
302,M,WNE,1996,"636f,636i,636m,653r",636,495200,5706800,13,194.194,162.162,205.205,181.182,231.231,186.190,155.157,196.210,,163.163,135.141,127.127,151.153,,223.223
302,M,WNE,1996,653r,,498600,5708500,,,,,,,,,,,,,,,,
301,M,WNE,1996,"704e,740f,740h,740n,740p,740q",740,465700,5681200,15,194.194,156.162,205.205,182.185,231.255,186.194,157.157,210.214,151.157,159.163,131.135,127.129,145.145,130.138,223.243
301,M,WNE,1996,"740f,740h,740n,740p,740q",,521500,5696800,,,,,,,,,,,,,,,,
300,F,WNE,1996,"740f,740i,740k,740l,740m,740r",740,521500,5696800,15,194.194,154.156,205.205,184.185,231.251,186.194,157.157,210.210,151.151,159.163,131.141,127.127,145.145,138.138,223.243
300,F,WNE,1997,,,523400,5697800,,,,,,,,,,,,,,,,
298,M,WNE,1996,"475a,475i",3361,514000,5703300,15,184.194,162.162,201.205,179.182,252.255,194.196,157.161,210.210,157.161,163.163,135.141,127.129,149.155,120.130,223.223
298,M,WNE,1996,"737a,737aa,737c,737t",,511700,5701300,,,,,,,,,,,,,,,,
298,M,WNE,1996,"631d,631e",,520600,5688900,,,,,,,,,,,,,,,,
298,M,WNE,1996,"480a,480c,480f,480g,480i,480j,480k,480l",,522600,5684900,,,,,,,,,,,,,,,,
298,M,WNE,1996,"628g,628k",,518300,5696800,,,,,,,,,,,,,,,,
298,M,WNE,1996,747s,,505400,5721300,,,,,,,,,,,,,,,,
298,M,WNE,1996,805f,,522700,5709500,,,,,,,,,,,,,,,,
298,M,WNE,1997,3361t,,520700,5688600,,,,,,,,,,,,,,,,
298,M,WNE,1997,3720l,,512300,5708100,,,,,,,,,,,,,,,,
298,M,WNE,1997,"3725i,3725j,3725k,3725l,3725o,3725o",,511400,5702000,,,,,,,,,,,,,,,,
298,M,WNE,1997,"3730a,3730m",,516900,5697400,,,,,,,,,,,,,,,,
298,M,WNE,1997,"3735f,3735g,3735h,3735j,3735n,3735p,3537q",,522300,5694400,,,,,,,,,,,,,,,,
298,M,WNE,1997,"3739b,3739e,3739g,3739h,3739i,3739j,3739k,3739m,3739n,3739o,3739p,3739q,3739s",,525100,5690900,,,,,,,,,,,,,,,,
298,M,WNE,1997,"3798a,3798b,3798e,3798g,3798g,3798h,3798i,3798j,3798k,3798l,3798m,3798p,3798u,3862c,3862e,3862f,3862j,3862k,3862m,3862n,3862o,3862p,3862q,3862r",,519800,5690000,,,,,,,,,,,,,,,,
295,F,WNE,1996,"822ac,748as,748c,3314f",748,499700,5721200,15,194.198,154.160,205.205,182.185,231.231,190.190,155.157,210.210,151.151,163.163,131.141,127.127,149.155,122.138,223.223
295,F,WNE,1996,"748as,748c,3314f",,498600,5723200,,,,,,,,,,,,,,,,
295,F,WNE,1997,3314f,,502800,5723900,,,,,,,,,,,,,,,,
295,F,WNE,1996,440,,,,,,,,,,,,,,,,,,,
294,F,WNE,1996,"441,748aa,748at,748d,748g,748j,748k,748l,748o,748q,748r,748s,748u,749d,822ab,822ai,822ak,822i,822j,822l,822m,822n,822p,822z",748,498600,5723200,15,184.198,158.160,205.205,181.182,231.231,190.190,155.155,206.210,151.151,163.163,131.141,127.127,149.151,120.138,223.223
294,F,WNE,1996,441,,,,,,,,,,,,,,,,,,,
294,F,WNE,1996,749d,,494400,5723400,,,,,,,,,,,,,,,,
294,F,WNE,1996,"822ab,822ai,822ak,822i,822j,822l,822m,822n,822p,822z",,499700,5721200,,,,,,,,,,,,,,,,
290,F,WNE,1996,437,,517114,5724200,15,194.198,158.162,205.211,181.182,231.231,180.194,155.159,196.206,151.151,163.163,129.141,127.131,149.153,122.138,239.243
288,M,WNE,1996,"435,493c,493e,493f,493g,493k,493l,493o,493p,3747a,3747c,3747e,3747f,3747j,3747k,3747l,3757aa,3757b,3757d,3757e,3757g,3757h,3757i,3757j,3757k,3757l,3757m,3757s,3757u,3757v,3757w,3757y,3821a,3814b,3814d,3814j,3814l,",490,485600,5724000,14,190.194,158.160,205.205,179.184,,186.202,157.169,,151.159,159.163,137.141,127.127,149.153,138.138,223.223
288,M,WNE,1996,"490e,3747a,3747c,3747e,3747f,3747j,3747k,3747l,3757aa,3757b,3757d,3757e,3757g,3757h,3757i,3757j,3757k,3757l,3757m,3757s,3757u,3757v,3757w,3757y,3821a,3814b,3814d,3814j,3814l,",,505200,5720400,,,,,,,,,,,,,,,,
288,M,WNE,1997,"3747a,3747c,3747e,3747f,3747j,3747k,3747l,3757aa,3757b,3757d,3757e,3757g,3757h,3757i,3757j,3757k,3757l,3757m,3757s,3757u,3757v,3757w,3757y,3821a,3814b,3814d,3814j,3814l,",,496100,5727300,,,,,,,,,,,,,,,,
288,M,WNE,1997,"3757aa,3757b,3757d,3757e,3757g,3757h,3757i,3757j,3757k,3757l,3757m,3757s,3757u,3757v,3757w,3757y,3821a,3814b,3814d,3814j,3814l,",,505100,5721600,,,,,,,,,,,,,,,,
288,M,WNE,1997,"3814b,3814d,3814j,3814l,",,472400,5721700,,,,,,,,,,,,,,,,
288,M,WNE,1996,435,,,,,,,,,,,,,,,,,,,
287,M,WNE,1996,"434,489d,489f,489l,490n,490o,490z,491ae,491m,491t",489,,,15,194.198,150.154,205.205,175.182,223.231,190.190,155.155,210.212,151.151,163.163,131.141,127.127,153.155,130.138,223.223
287,M,WNE,1996,"489d,489f,489l,490n,490o,490z,491ae,491m,491t",,503300,5718300,,,,,,,,,,,,,,,,
287,M,WNE,1996,"490n,490o,490z,491ae,491m,491t",,505200,5720400,,,,,,,,,,,,,,,,
287,M,WNE,1996,"491ae,491m,491t",,506600,5720600,,,,,,,,,,,,,,,,
286,M,WNE,1996,"433,748ac,748af,748ao,748b,748e,748f,748p,4335b,4335g",748,,,14,192.198,156.158,205.205,181.181,231.231,190.194,155.169,206.210,151.151,163.163,131.135,127.127,149.149,,223.223
286,M,WNE,1996,"748ac,748af,748ao,748b,748e,748f,748p,4335b,4335g",,498600,5723200,,,,,,,,,,,,,,,,
286,M,WNE,1998,"4335b,4335g",,473800,5709500,,,,,,,,,,,,,,,,
282,F,WNE,1996,429,,504745,5723527,15,194.198,156.162,203.205,177.181,231.253,186.190,155.169,196.210,151.159,163.165,141.141,127.127,149.149,122.138,223.239
132,F,WNE,Pre 96,"3720b,3784a,b,c,d,e, 3408f,g, 3727c",3720,515279,5712543,15,184.194,158.162,201.211,182.182,231.255,190.194,155.155,210.210,153.161,163.163,135.141,127.127,149.149,120.138,223.223
132,F,WNE,1997,"3408f,3408g",,522700,5708900,,,,,,,,,,,,,,,,
132,F,WNE,1997,"3720b,3784a,3784b,3784c,3784d,3784e,3784f",,512300,5708100,,,,,,,,,,,,,,,,
132,F,WNE,1997,3727c,,520500,5702500,,,,,,,,,,,,,,,,
113,M,WNE,1995,,,478900,5719900,15,184.192,158.162,205.205,182.186,252.255,186.196,159.159,210.212,151.151,159.163,131.141,127.127,149.149,122.138,223.223
111,M,WNE,1995,,,478900,5719900,15,194.198,156.158,201.205,181.182,231.252,186.194,155.169,210.214,151.151,163.163,135.141,127.127,151.153,138.138,223.243
106,M,WNE,1995,"106, 69755",,478900,5719900,15,192.194,158.158,205.211,182.184,231.255,186.194,155.161,206.210,151.151,159.163,141.141,127.129,149.155,138.138,223.243
106,M,WNE,,,,479000,5719000,,,,,,,,,,,,,,,,
105,M,WNE,1995,"105,3320e,3320f,3320g,3320h,3320k",,483100,5709700,15,192.198,158.162,201.205,179.182,231.231,186.190,155.169,210.210,151.151,163.163,141.141,127.127,153.155,122.138,223.223
105,M,WNE,1997,"105,3320e,3320f,3320g,3320h,3320k",,485900,5717000,,,,,,,,,,,,,,,,
103,M,WNE,1995,,,478900,5719900,15,192.194,148.158,205.205,181.186,223.252,186.190,159.169,212.212,151.151,163.163,135.141,127.129,153.157,120.138,223.239
90,M,WNE,1995,,,478500,5720600,15,198.198,154.162,205.205,179.182,231.231,190.194,155.169,206.210,151.151,163.163,141.141,127.127,155.155,138.138,223.223
89,M,WNE,1995,,,478500,5720600,15,198.198,158.164,201.201,182.182,231.231,190.194,155.155,210.210,151.151,163.163,141.141,127.127,145.153,138.138,223.223
74,F,WNE,1994,,,522300,5683756,15,194.194,154.162,205.205,184.186,231.251,186.190,155.169,210.214,151.153,163.163,135.141,127.129,151.159,132.138,223.239
71,F,WNE,1994,"630ab,630ac,3794g",,521756,5694744,15,194.194,156.162,205.205,184.185,231.251,186.186,155.157,210.210,151.151,159.163,131.141,127.129,151.159,132.138,223.243
71,F,WNE,1996,"630ab,630ac",,525400,5696900,,,,,,,,,,,,,,,,
71,F,WNE,1997,3794g,,516900,5697400,,,,,,,,,,,,,,,,
54,M,WNE,1994,"54,3389b,3389g",,521440,5715120,15,194.198,162.162,201.205,181.186,253.255,190.194,157.169,210.210,153.159,163.165,131.141,127.127,149.159,138.138,223.223
54,M,WNE,1997,"54,3389b,3389g",,513400,5716600,,,,,,,,,,,,,,,,
44,F,WNE,1995,"44,480b,480d,480e,741e,741h,741j,3362a,3362b,3731i,3787a,3787b,3792b,3792c,3792d,3792e",,524989,5693493,15,194.194,154.162,201.211,181.182,251.252,186.194,157.157,210.214,151.157,163.163,131.135,127.127,149.153,120.138,223.239
44,F,WNE,1996,"480b,480d,480e",,522600,5684900,,,,,,,,,,,,,,,,
44,F,WNE,1996,"741e,741h,741j",,519900,5689900,,,,,,,,,,,,,,,,
44,F,WNE,1997,"3362a,3362b,",,520700,5688600,,,,,,,,,,,,,,,,
44,F,WNE,1997,3731i,,523400,5697800,,,,,,,,,,,,,,,,
44,F,WNE,1997,"3787a,3787b",,526100,5706200,,,,,,,,,,,,,,,,
44,F,WNE,1997,"3792b,3792c,3792d,3792e",,525800,5703900,,,,,,,,,,,,,,,,
42,F,WNE,Pre 96,42,,522337,5709093,15,184.192,158.160,201.211,181.182,252.255,190.190,169.169,210.210,151.153,163.163,135.141,127.127,149.151,138.138,223.243
35,F,WNE,1997,"35,3832a,3832d,3832f,3832g,3832j,3832k,3832o,3832q,3832t,3832u,3832v,3703a,3703b",,516100,5717800,15,184.194,154.154,205.205,181.186,231.255,194.194,155.157,206.210,151.153,163.163,131.141,127.129,153.155,138.138,223.243
35,F,WNE,1997,"3703a,3703b",,513400,5716600,,,,,,,,,,,,,,,,
35,F,WNE,1994,,,514492,5718827,,,,,,,,,,,,,,,,
30,M,WNE,1994,get data erased by mistake,,505920,5719673,15,194.194,158.162,205.211,182.184,231.231,186.194,159.161,206.212,151.159,163.163,141.141,127.127,149.155,138.138,223.223
68763,M,WNW,,,,461000,5709000,15,184.192,152.162,205.205,181.182,231.231,194.196,155.157,210.212,151.151,159.163,141.141,127.127,151.153,138.138,223.223
68758,M,WNW,,,,450000,5727000,15,192.198,156.158,205.205,182.182,231.253,186.186,155.159,210.212,151.151,163.171,141.141,127.127,149.155,120.138,223.223
65470,M,WNW,,,,402000,5662000,14,184.184,148.148,201.205,182.182,223.249,186.194,157.159,210.212,151.151,159.163,137.143,127.127,149.157,136.138,
60382,M,WNW,1995,,,444000,5718000,15,192.194,156.162,205.205,182.184,231.251,186.186,155.157,210.210,151.151,161.163,141.141,127.127,153.153,122.138,223.223
60230,F,WNW,,,,452000,5729000,15,192.198,162.164,205.211,181.184,231.255,194.196,155.157,210.212,153.157,163.163,135.141,127.131,153.153,122.122,223.223
52505,M,WNW,1995,,,404000,5706000,15,184.194,154.162,201.205,184.185,221.252,190.194,155.157,210.212,153.153,163.163,141.141,127.127,149.159,110.122,223.223
52503,M,WNW,1995,,,405000,5706000,15,192.194,152.164,205.211,182.184,231.231,186.196,155.157,210.212,153.153,163.163,141.141,127.131,151.153,138.138,223.243
4412,F,WNW,1998,"4412a,4412b,4412c,4412d,4412e,4412f",4412,460300,5682400,14,184.194,156.158,205.205,181.184,249.255,194.194,155.157,210.212,151.151,163.163,141.141,129.131,155.159,,223.223
4362,F,WNW,1998,"4362a,4362b,4362c,4362d,4362e,4362f,4362g,4362h,4362i,4362j,4362k,4362l,4362m",4362,466900,5678400,14,184.184,160.162,205.205,175.184,249.255,186.196,155.157,212.212,151.151,163.163,129.145,127.131,,110.138,223.223
4360,M,WNW,1998,"4360m,4360o,4360p,4360v",4360,460300,5682400,14,194.194,156.162,205.211,181.184,249.255,194.194,155.157,212.212,151.151,159.163,141.143,127.129,,110.138,243.243
4335,M,WNW,1998,4335f,4335,473800,5709500,15,192.198,148.152,205.211,181.181,231.231,186.190,155.169,206.210,151.151,163.163,131.135,127.127,149.149,120.130,223.223
4094,M,WNW,1998,4094d,4094,455600,5708700,13,194.194,162.164,211.211,179.179,231.231,186.190,157.157,210.210,151.159,159.163,,127.129,149.153,,223.239
4053,M,WNW,1998,4053b,4053,451500,5687100,12,184.194,158.162,205.211,182.184,255.255,,157.169,210.212,151.153,159.163,135.141,127.127,,138.138,
4044,F,WNW,1998,"4044h,4044i",4044,442800,5691300,13,184.194,152.162,205.205,179.184,231.231,194.194,157.159,210.212,153.157,163.163,,127.127,143.155,,223.223
3997,M,WNW,1998,"4053c,3997b,3997c,3997e,3997f,3997g,4061c",3997,451500,5687100,14,192.194,158.158,205.205,185.186,249.255,186.190,155.157,210.210,151.153,,141.143,127.127,151.153,110.138,223.239
3997,M,WNW,1998,"3997b,3997c,3997e,3997f,3997g,4061c",,453400,5681200,,,,,,,,,,,,,,,,
3990,M,WNW,1998,"3990a,3990b,3990c,3990d",3990,456900,5688800,15,192.194,148.158,205.205,179.186,231.255,186.186,157.157,210.214,151.153,163.163,129.141,127.127,151.155,110.122,223.239
3969,M,WNW,1998,"3969b,3969c",4160,455600,5704200,15,184.194,158.162,205.205,182.184,251.252,194.194,155.157,212.212,151.151,163.163,141.141,127.127,153.159,110.138,223.239
3969,M,WNW,1998,"4160c,4160e",,451100,5703600,,,,,,,,,,,,,,,,
3965,F,WNW,1998,"3965a,3965c,3965d,3965e,3965f",3973,450500,5706700,15,194.198,158.162,205.211,182.184,231.251,186.194,155.157,210.212,151.153,163.163,135.141,127.127,153.153,122.138,223.239
3965,F,WNW,1998,"3973a,3973b,3973d,3973e,3973e,3973f,3973h",,447700,5696200,,,,,,,,,,,,,,,,
3909,F,WNW,1998,"3980a,3980b,3980e",3909,442800,5691300,15,184.194,154.156,205.205,184.185,221.231,186.186,155.157,210.212,151.151,161.163,141.141,127.127,153.159,110.138,223.223
3909,F,WNW,1998,"3909a,3909b,3909c,3909d,3909e,3909f,3909g,3909h,3909i,3909k,3909l,3909m",,447700,5696200,,,,,,,,,,,,,,,,
3909,F,WNW,1998,"4036a,4036b,4036c",,441200,5696900,,,,,,,,,,,,,,,,
3902,M,WNW,1998,"3902a,3902b,3902f,3902g,3902h,3902i,3902j,3902k,3902l,3902m,3902o,3902r,3902s,3902u,3902w,4094a,4094g,4094h,4094k,4094l,4094m",3902,455600,5708700,15,192.194,158.164,211.211,179.181,231.231,186.190,155.157,206.210,151.151,163.153,141.141,127.131,153.153,122.138,239.239
1677,M,WNW,1998,1677,,447242,5685092,15,184.194,148.150,205.205,179.181,231.231,180.196,155.157,212.212,151.151,159.163,141.141,127.127,151.153,138.138,223.239
1673,M,WNW,1998,1673,,450000,5680700,15,184.198,148.152,205.211,179.182,221.223,180.196,155.157,210.210,151.151,159.163,137.141,127.127,151.155,138.138,223.223
1672,F,WNW,1998,1672,,457764,5679028,15,194.198,158.158,205.205,179.182,231.251,186.196,155.157,210.212,151.151,161.163,141.145,127.129,149.153,138.138,223.239
1671,F,WNW,1998,1671,,464441,5685504,13,192.194,162.162,205.211,184.186,249.252,186.194,,210.210,151.151,163.163,,131.131,153.159,110.138,223.239
512,F,WNW,1998,"4094e,4094f",,453926,5708722,15,192.192,162.164,205.211,179.181,231.251,190.196,157.157,206.210,151.151,163.163,141.141,131.131,153.153,122.138,223.239
512,F,WNW,1998,"4094e,4094f",,455600,5708700,,,,,,,,,,,,,,,,
454,M,WNW,1997,"3933a,3933b,3933f,3933g,3933j,3933n,3997a4061a,4061d,4125b, 3989a,3989b,3989c,3989e,4054f,4054g, 4045f,4045g,4045h,4045i, 4037j,4037k",,447067,5689198,15,184.194,148.152,205.211,182.182,225.231,190.194,157.157,210.212,151.151,159.163,141.141,127.127,149.153,132.138,223.223
